NomeDP,Tempo,Valor,Processado,Comentário
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:42:21,50.0,50.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:42:24,0.0,0.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:42:41,50.0,50.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:42:44,0.0,0.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:47:15,300.0,300.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:47:16,550.0,550.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:47:18,700.0,700.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:47:19,650.0,650.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:47:20,550.0,550.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:47:21,400.0,400.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:47:22,350.0,350.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:47:25,450.0,450.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:47:26,700.0,700.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:47:28,1050.0,1050.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:47:29,1350.0,1350.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:47:30,1600.0,1600.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:47:31,1900.0,1900.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:47:32,1550.0,1550.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:47:33,1500.0,1500.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:47:35,1900.0,1900.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:47:36,1800.0,1800.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:47:38,1650.0,1650.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:47:39,1450.0,1450.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:47:40,1250.0,1250.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:47:41,1100.0,1100.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:47:42,1000.0,1000.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:47:45,1050.0,1050.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:47:48,1100.0,1100.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:47:58,1150.0,1150.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:48:00,1100.0,1100.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:48:01,1150.0,1150.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:48:06,1100.0,1100.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:48:11,1150.0,1150.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:48:13,1200.0,1200.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:48:15,1250.0,1250.0,
Freio_prony_ESP32_wifi_modbus - rotacao,2025/06/13 09:48:19,1300.0,1300.0,
